民國年,縣市,期作,收購類型,收購量(公噸)
101,南投縣,二期,計畫收購,1377.5
101,南投縣,二期,輔導收購,241.8
101,南投縣,二期,餘糧收購,145.9
101,雲林縣,一期,計畫收購,44765.4
101,雲林縣,一期,輔導收購,21999.2
101,雲林縣,一期,餘糧收購,12967.3
101,雲林縣,二期,計畫收購,14680.4
101,雲林縣,二期,輔導收購,5169.5
101,雲林縣,二期,餘糧收購,1387.5
101,嘉義縣,一期,計畫收購,27208.0
101,嘉義縣,一期,輔導收購,13584.5
101,嘉義縣,一期,餘糧收購,10022.4
101,嘉義縣,二期,計畫收購,16184.0
101,嘉義縣,二期,輔導收購,4938.6
101,嘉義縣,二期,餘糧收購,875.5
101,屏東縣,一期,計畫收購,3329.4
101,屏東縣,一期,輔導收購,1569.9
101,屏東縣,一期,餘糧收購,1105.9
101,屏東縣,二期,計畫收購,226.3
101,屏東縣,二期,輔導收購,119.9
101,屏東縣,二期,餘糧收購,154.4
101,臺東縣,一期,計畫收購,559.0
101,臺東縣,一期,輔導收購,190.1
101,臺東縣,一期,餘糧收購,82.7
101,臺東縣,二期,計畫收購,632.2
101,臺東縣,二期,輔導收購,84.2
101,臺東縣,二期,餘糧收購,33.5
101,花蓮縣,一期,計畫收購,4299.4
101,花蓮縣,一期,輔導收購,1567.1
101,花蓮縣,一期,餘糧收購,437.1
101,花蓮縣,二期,計畫收購,3246.2
101,花蓮縣,二期,輔導收購,909.5
101,花蓮縣,二期,餘糧收購,131.2
101,新竹市,一期,計畫收購,372.9
101,新竹市,一期,輔導收購,200.9
101,新竹市,一期,餘糧收購,235.1
101,新竹市,二期,計畫收購,193.1
101,新竹市,二期,輔導收購,94.5
101,新竹市,二期,餘糧收購,158.3
101,嘉義市,一期,計畫收購,555.3
101,嘉義市,一期,輔導收購,223.9
101,嘉義市,一期,餘糧收購,7.7
101,嘉義市,二期,計畫收購,670.3
101,嘉義市,二期,輔導收購,208.7
101,嘉義市,二期,餘糧收購,17.7
102,新北市,一期,計畫收購,218.4
102,新北市,一期,輔導收購,104.8
102,新北市,一期,餘糧收購,86.4
102,臺中市,一期,計畫收購,17446.1
102,臺中市,一期,輔導收購,9513.1
102,臺中市,一期,餘糧收購,12966.3
102,臺中市,二期,計畫收購,11400.4
102,臺中市,二期,輔導收購,5003.1
102,臺中市,二期,餘糧收購,5968.5
102,臺南市,一期,計畫收購,15870.0
102,臺南市,一期,輔導收購,7579.0
102,臺南市,一期,餘糧收購,5961.7
102,臺南市,二期,計畫收購,8764.7
102,臺南市,二期,輔導收購,866.7
102,臺南市,二期,餘糧收購,58.0
102,高雄市,一期,計畫收購,3533.1
102,高雄市,一期,輔導收購,2049.4
102,高雄市,一期,餘糧收購,2983.2
102,高雄市,二期,計畫收購,196.0
102,高雄市,二期,輔導收購,93.9
102,高雄市,二期,餘糧收購,113.3
102,宜蘭縣,一期,計畫收購,17304.4
102,宜蘭縣,一期,輔導收購,8692.4
102,宜蘭縣,一期,餘糧收購,3318.9
102,桃園縣,一期,計畫收購,12454.5
102,桃園縣,一期,輔導收購,6697.6
102,桃園縣,一期,餘糧收購,7160.5
