民國年,縣市,期作,產量_稻穀(公噸)
107,屏東縣,二期,4790.5
107,臺東縣,一期,43705.6
107,臺東縣,二期,33335.4
107,花蓮縣,一期,56585.6
107,花蓮縣,二期,45457.3
107,新竹市,一期,4792.5
107,新竹市,二期,2713.7
107,嘉義市,一期,5875.4
107,嘉義市,二期,4580.1
108,新北市,一期,786.9
108,新北市,二期,27.8
108,臺北市,一期,1184.8
108,臺北市,二期,699.5
108,桃園市,一期,70308.3
108,桃園市,二期,16703.0
108,臺中市,一期,89973.1
108,臺中市,二期,60846.3
108,臺南市,一期,101711.4
108,臺南市,二期,59346.7
108,高雄市,一期,33712.9
108,高雄市,二期,1660.6
108,宜蘭縣,一期,67004.2
108,新竹縣,一期,23754.2
108,新竹縣,二期,18088.7
108,苗栗縣,一期,39455.4
108,苗栗縣,二期,28955.2
108,彰化縣,一期,204527.5
108,彰化縣,二期,140398.2
108,南投縣,一期,16248.6
108,南投縣,二期,16384.8
108,雲林縣,一期,235684.0
108,雲林縣,二期,97000.6
108,嘉義縣,一期,137868.0
108,嘉義縣,二期,90164.4
108,屏東縣,一期,43403.3
108,屏東縣,二期,4024.1
108,臺東縣,一期,40104.6
108,臺東縣,二期,32413.7
108,花蓮縣,一期,55059.3
108,花蓮縣,二期,47003.6
108,新竹市,一期,3996.2
108,新竹市,二期,3241.6
108,嘉義市,一期,5267.1
108,嘉義市,二期,4202.3
109,新北市,一期,815.9
109,新北市,二期,15.8
109,臺北市,一期,1246.7
109,臺北市,二期,690.8
109,桃園市,一期,60694.8
109,桃園市,二期,12495.0
109,臺中市,一期,91922.4
109,臺中市,二期,66910.8
109,臺南市,一期,95512.8
109,臺南市,二期,58092.0
109,高雄市,一期,36790.2
109,高雄市,二期,2054.4
109,宜蘭縣,一期,71375.3
109,新竹縣,一期,20798.6
109,新竹縣,二期,16313.3
109,苗栗縣,一期,36503.9
109,苗栗縣,二期,30294.2
109,彰化縣,一期,211758.8
109,彰化縣,二期,147156.5
109,南投縣,一期,15055.1
109,南投縣,二期,16780.4
109,雲林縣,一期,213888.7
109,雲林縣,二期,95930.9
109,嘉義縣,一期,133839.7
109,嘉義縣,二期,91890.6
109,屏東縣,一期,42590.6
109,屏東縣,二期,3895.4
109,臺東縣,一期,35620.4
109,臺東縣,二期,35030.1
109,花蓮縣,一期,46637.7
109,花蓮縣,二期,41729.2
109,新竹市,一期,4041.3
109,新竹市,二期,3107.9
109,嘉義市,一期,4835.2
109,嘉義市,二期,4413.3
110,新北市,一期,571.1
110,新北市,二期,33.9
110,臺北市,一期,1312.6
110,臺北市,二期,906.8
110,桃園市,一期,20699.8
110,桃園市,二期,15749.7
110,臺中市,一期,44857.5
110,臺中市,二期,65280.6
110,臺南市,一期,38520.2
110,臺南市,二期,58812.4
110,高雄市,一期,38918.7
110,高雄市,二期,2021.8
110,宜蘭縣,一期,74979.6
110,新竹縣,一期,15182.1
